q_index,question,answers,sentence,ml_answer,ml_score,score
3756_0,What is the call number?,220393688,"call_number 220393688|unit_id AM118|incident_number 22018525|call_type Medical Incident|call_date 2022-02-08|watch_date 2022-02-08|received_dttm 2022-02-08 23:50:10|entry_dttm 2022-02-08 23:50:10|dispatch_dttm 2022-02-08 23:50:35|response_dttm 2022-02-08 23:51:08|call_final_disposition Code 2 Transport|available_dttm 2022-02-09T01:06:42.000|address 300 Block of EDDY ST|city San Francisco|zipcode_of_incident 94102.0|battalion B02|station_area 3.0|box 1540.0|original_priority C|priority 2|final_priority 2|als_unit False|call_type_group Non Life-threatening|number_of_alarms 1|unit_type PRIVATE|unit_sequence_in_call_dispatch 1|fire_prevention_district 2|supervisor_district 6|neighborhoods_analysis_boundaries Tenderlo|rowid 220393688-AM118|case_location {'type': 'Point', 'coordinat|on_scene_dttm 2022-02-09 00:00:22|transport_dttm 2022-02-09 00:19:16|hospital_dttm 2022-02-09 00:29:52",220393688,0.8336929678916931,True
3756_1,What call number?,220393688,"call_number 220393688|unit_id AM118|incident_number 22018525|call_type Medical Incident|call_date 2022-02-08|watch_date 2022-02-08|received_dttm 2022-02-08 23:50:10|entry_dttm 2022-02-08 23:50:10|dispatch_dttm 2022-02-08 23:50:35|response_dttm 2022-02-08 23:51:08|call_final_disposition Code 2 Transport|available_dttm 2022-02-09T01:06:42.000|address 300 Block of EDDY ST|city San Francisco|zipcode_of_incident 94102.0|battalion B02|station_area 3.0|box 1540.0|original_priority C|priority 2|final_priority 2|als_unit False|call_type_group Non Life-threatening|number_of_alarms 1|unit_type PRIVATE|unit_sequence_in_call_dispatch 1|fire_prevention_district 2|supervisor_district 6|neighborhoods_analysis_boundaries Tenderlo|rowid 220393688-AM118|case_location {'type': 'Point', 'coordinat|on_scene_dttm 2022-02-09 00:00:22|transport_dttm 2022-02-09 00:19:16|hospital_dttm 2022-02-09 00:29:52",220393688,0.5884047150611877,True
3756_2,Which unit is assigned?,AM118,"call_number 220393688|unit_id AM118|incident_number 22018525|call_type Medical Incident|call_date 2022-02-08|watch_date 2022-02-08|received_dttm 2022-02-08 23:50:10|entry_dttm 2022-02-08 23:50:10|dispatch_dttm 2022-02-08 23:50:35|response_dttm 2022-02-08 23:51:08|call_final_disposition Code 2 Transport|available_dttm 2022-02-09T01:06:42.000|address 300 Block of EDDY ST|city San Francisco|zipcode_of_incident 94102.0|battalion B02|station_area 3.0|box 1540.0|original_priority C|priority 2|final_priority 2|als_unit False|call_type_group Non Life-threatening|number_of_alarms 1|unit_type PRIVATE|unit_sequence_in_call_dispatch 1|fire_prevention_district 2|supervisor_district 6|neighborhoods_analysis_boundaries Tenderlo|rowid 220393688-AM118|case_location {'type': 'Point', 'coordinat|on_scene_dttm 2022-02-09 00:00:22|transport_dttm 2022-02-09 00:19:16|hospital_dttm 2022-02-09 00:29:52",AM118,0.8373619914054871,True
3756_3,What unit is it?,AM118,"call_number 220393688|unit_id AM118|incident_number 22018525|call_type Medical Incident|call_date 2022-02-08|watch_date 2022-02-08|received_dttm 2022-02-08 23:50:10|entry_dttm 2022-02-08 23:50:10|dispatch_dttm 2022-02-08 23:50:35|response_dttm 2022-02-08 23:51:08|call_final_disposition Code 2 Transport|available_dttm 2022-02-09T01:06:42.000|address 300 Block of EDDY ST|city San Francisco|zipcode_of_incident 94102.0|battalion B02|station_area 3.0|box 1540.0|original_priority C|priority 2|final_priority 2|als_unit False|call_type_group Non Life-threatening|number_of_alarms 1|unit_type PRIVATE|unit_sequence_in_call_dispatch 1|fire_prevention_district 2|supervisor_district 6|neighborhoods_analysis_boundaries Tenderlo|rowid 220393688-AM118|case_location {'type': 'Point', 'coordinat|on_scene_dttm 2022-02-09 00:00:22|transport_dttm 2022-02-09 00:19:16|hospital_dttm 2022-02-09 00:29:52",AM118,0.6982083320617676,True
3756_4,What is the incident number?,22018525,"call_number 220393688|unit_id AM118|incident_number 22018525|call_type Medical Incident|call_date 2022-02-08|watch_date 2022-02-08|received_dttm 2022-02-08 23:50:10|entry_dttm 2022-02-08 23:50:10|dispatch_dttm 2022-02-08 23:50:35|response_dttm 2022-02-08 23:51:08|call_final_disposition Code 2 Transport|available_dttm 2022-02-09T01:06:42.000|address 300 Block of EDDY ST|city San Francisco|zipcode_of_incident 94102.0|battalion B02|station_area 3.0|box 1540.0|original_priority C|priority 2|final_priority 2|als_unit False|call_type_group Non Life-threatening|number_of_alarms 1|unit_type PRIVATE|unit_sequence_in_call_dispatch 1|fire_prevention_district 2|supervisor_district 6|neighborhoods_analysis_boundaries Tenderlo|rowid 220393688-AM118|case_location {'type': 'Point', 'coordinat|on_scene_dttm 2022-02-09 00:00:22|transport_dttm 2022-02-09 00:19:16|hospital_dttm 2022-02-09 00:29:52",22018525,0.9966439604759216,True
3756_5,What incident?,22018525,"call_number 220393688|unit_id AM118|incident_number 22018525|call_type Medical Incident|call_date 2022-02-08|watch_date 2022-02-08|received_dttm 2022-02-08 23:50:10|entry_dttm 2022-02-08 23:50:10|dispatch_dttm 2022-02-08 23:50:35|response_dttm 2022-02-08 23:51:08|call_final_disposition Code 2 Transport|available_dttm 2022-02-09T01:06:42.000|address 300 Block of EDDY ST|city San Francisco|zipcode_of_incident 94102.0|battalion B02|station_area 3.0|box 1540.0|original_priority C|priority 2|final_priority 2|als_unit False|call_type_group Non Life-threatening|number_of_alarms 1|unit_type PRIVATE|unit_sequence_in_call_dispatch 1|fire_prevention_district 2|supervisor_district 6|neighborhoods_analysis_boundaries Tenderlo|rowid 220393688-AM118|case_location {'type': 'Point', 'coordinat|on_scene_dttm 2022-02-09 00:00:22|transport_dttm 2022-02-09 00:19:16|hospital_dttm 2022-02-09 00:29:52",Medical Incident,0.06289274990558624,False
3756_6,What type of incident is it?,"['Medical Incident', 'Non Life-threatening']","call_number 220393688|unit_id AM118|incident_number 22018525|call_type Medical Incident|call_date 2022-02-08|watch_date 2022-02-08|received_dttm 2022-02-08 23:50:10|entry_dttm 2022-02-08 23:50:10|dispatch_dttm 2022-02-08 23:50:35|response_dttm 2022-02-08 23:51:08|call_final_disposition Code 2 Transport|available_dttm 2022-02-09T01:06:42.000|address 300 Block of EDDY ST|city San Francisco|zipcode_of_incident 94102.0|battalion B02|station_area 3.0|box 1540.0|original_priority C|priority 2|final_priority 2|als_unit False|call_type_group Non Life-threatening|number_of_alarms 1|unit_type PRIVATE|unit_sequence_in_call_dispatch 1|fire_prevention_district 2|supervisor_district 6|neighborhoods_analysis_boundaries Tenderlo|rowid 220393688-AM118|case_location {'type': 'Point', 'coordinat|on_scene_dttm 2022-02-09 00:00:22|transport_dttm 2022-02-09 00:19:16|hospital_dttm 2022-02-09 00:29:52",Medical Incident,0.6684871315956116,True
3756_7,What call type?,"['Medical Incident', 'Non Life-threatening']","call_number 220393688|unit_id AM118|incident_number 22018525|call_type Medical Incident|call_date 2022-02-08|watch_date 2022-02-08|received_dttm 2022-02-08 23:50:10|entry_dttm 2022-02-08 23:50:10|dispatch_dttm 2022-02-08 23:50:35|response_dttm 2022-02-08 23:51:08|call_final_disposition Code 2 Transport|available_dttm 2022-02-09T01:06:42.000|address 300 Block of EDDY ST|city San Francisco|zipcode_of_incident 94102.0|battalion B02|station_area 3.0|box 1540.0|original_priority C|priority 2|final_priority 2|als_unit False|call_type_group Non Life-threatening|number_of_alarms 1|unit_type PRIVATE|unit_sequence_in_call_dispatch 1|fire_prevention_district 2|supervisor_district 6|neighborhoods_analysis_boundaries Tenderlo|rowid 220393688-AM118|case_location {'type': 'Point', 'coordinat|on_scene_dttm 2022-02-09 00:00:22|transport_dttm 2022-02-09 00:19:16|hospital_dttm 2022-02-09 00:29:52",Medical Incident,0.9771509170532227,True
3756_8,What is the reason for the call?,"['Medical Incident', 'Non Life-threatening']","call_number 220393688|unit_id AM118|incident_number 22018525|call_type Medical Incident|call_date 2022-02-08|watch_date 2022-02-08|received_dttm 2022-02-08 23:50:10|entry_dttm 2022-02-08 23:50:10|dispatch_dttm 2022-02-08 23:50:35|response_dttm 2022-02-08 23:51:08|call_final_disposition Code 2 Transport|available_dttm 2022-02-09T01:06:42.000|address 300 Block of EDDY ST|city San Francisco|zipcode_of_incident 94102.0|battalion B02|station_area 3.0|box 1540.0|original_priority C|priority 2|final_priority 2|als_unit False|call_type_group Non Life-threatening|number_of_alarms 1|unit_type PRIVATE|unit_sequence_in_call_dispatch 1|fire_prevention_district 2|supervisor_district 6|neighborhoods_analysis_boundaries Tenderlo|rowid 220393688-AM118|case_location {'type': 'Point', 'coordinat|on_scene_dttm 2022-02-09 00:00:22|transport_dttm 2022-02-09 00:19:16|hospital_dttm 2022-02-09 00:29:52",call_type Medical Incident,0.00037427953793667257,False
3756_9,When was the call recieved?,2022-02-08,"call_number 220393688|unit_id AM118|incident_number 22018525|call_type Medical Incident|call_date 2022-02-08|watch_date 2022-02-08|received_dttm 2022-02-08 23:50:10|entry_dttm 2022-02-08 23:50:10|dispatch_dttm 2022-02-08 23:50:35|response_dttm 2022-02-08 23:51:08|call_final_disposition Code 2 Transport|available_dttm 2022-02-09T01:06:42.000|address 300 Block of EDDY ST|city San Francisco|zipcode_of_incident 94102.0|battalion B02|station_area 3.0|box 1540.0|original_priority C|priority 2|final_priority 2|als_unit False|call_type_group Non Life-threatening|number_of_alarms 1|unit_type PRIVATE|unit_sequence_in_call_dispatch 1|fire_prevention_district 2|supervisor_district 6|neighborhoods_analysis_boundaries Tenderlo|rowid 220393688-AM118|case_location {'type': 'Point', 'coordinat|on_scene_dttm 2022-02-09 00:00:22|transport_dttm 2022-02-09 00:19:16|hospital_dttm 2022-02-09 00:29:52",2022-02-08,0.0002850992023013532,True
3756_10,When was it reported?,2022-02-08,"call_number 220393688|unit_id AM118|incident_number 22018525|call_type Medical Incident|call_date 2022-02-08|watch_date 2022-02-08|received_dttm 2022-02-08 23:50:10|entry_dttm 2022-02-08 23:50:10|dispatch_dttm 2022-02-08 23:50:35|response_dttm 2022-02-08 23:51:08|call_final_disposition Code 2 Transport|available_dttm 2022-02-09T01:06:42.000|address 300 Block of EDDY ST|city San Francisco|zipcode_of_incident 94102.0|battalion B02|station_area 3.0|box 1540.0|original_priority C|priority 2|final_priority 2|als_unit False|call_type_group Non Life-threatening|number_of_alarms 1|unit_type PRIVATE|unit_sequence_in_call_dispatch 1|fire_prevention_district 2|supervisor_district 6|neighborhoods_analysis_boundaries Tenderlo|rowid 220393688-AM118|case_location {'type': 'Point', 'coordinat|on_scene_dttm 2022-02-09 00:00:22|transport_dttm 2022-02-09 00:19:16|hospital_dttm 2022-02-09 00:29:52",2022,1.3940635881226626e-06,True
3756_11,When was the incident submitted?,2022-02-08 23:50:10,"call_number 220393688|unit_id AM118|incident_number 22018525|call_type Medical Incident|call_date 2022-02-08|watch_date 2022-02-08|received_dttm 2022-02-08 23:50:10|entry_dttm 2022-02-08 23:50:10|dispatch_dttm 2022-02-08 23:50:35|response_dttm 2022-02-08 23:51:08|call_final_disposition Code 2 Transport|available_dttm 2022-02-09T01:06:42.000|address 300 Block of EDDY ST|city San Francisco|zipcode_of_incident 94102.0|battalion B02|station_area 3.0|box 1540.0|original_priority C|priority 2|final_priority 2|als_unit False|call_type_group Non Life-threatening|number_of_alarms 1|unit_type PRIVATE|unit_sequence_in_call_dispatch 1|fire_prevention_district 2|supervisor_district 6|neighborhoods_analysis_boundaries Tenderlo|rowid 220393688-AM118|case_location {'type': 'Point', 'coordinat|on_scene_dttm 2022-02-09 00:00:22|transport_dttm 2022-02-09 00:19:16|hospital_dttm 2022-02-09 00:29:52",2022-02-08,1.7281768123211805e-06,True
3756_12,When did the dispatcher submit the task?,2022-02-08 23:50:10,"call_number 220393688|unit_id AM118|incident_number 22018525|call_type Medical Incident|call_date 2022-02-08|watch_date 2022-02-08|received_dttm 2022-02-08 23:50:10|entry_dttm 2022-02-08 23:50:10|dispatch_dttm 2022-02-08 23:50:35|response_dttm 2022-02-08 23:51:08|call_final_disposition Code 2 Transport|available_dttm 2022-02-09T01:06:42.000|address 300 Block of EDDY ST|city San Francisco|zipcode_of_incident 94102.0|battalion B02|station_area 3.0|box 1540.0|original_priority C|priority 2|final_priority 2|als_unit False|call_type_group Non Life-threatening|number_of_alarms 1|unit_type PRIVATE|unit_sequence_in_call_dispatch 1|fire_prevention_district 2|supervisor_district 6|neighborhoods_analysis_boundaries Tenderlo|rowid 220393688-AM118|case_location {'type': 'Point', 'coordinat|on_scene_dttm 2022-02-09 00:00:22|transport_dttm 2022-02-09 00:19:16|hospital_dttm 2022-02-09 00:29:52",2022-02-09 00:29:52,7.190644879528918e-08,False
3756_13,When did they respond?,2022-02-08 23:51:08,"call_number 220393688|unit_id AM118|incident_number 22018525|call_type Medical Incident|call_date 2022-02-08|watch_date 2022-02-08|received_dttm 2022-02-08 23:50:10|entry_dttm 2022-02-08 23:50:10|dispatch_dttm 2022-02-08 23:50:35|response_dttm 2022-02-08 23:51:08|call_final_disposition Code 2 Transport|available_dttm 2022-02-09T01:06:42.000|address 300 Block of EDDY ST|city San Francisco|zipcode_of_incident 94102.0|battalion B02|station_area 3.0|box 1540.0|original_priority C|priority 2|final_priority 2|als_unit False|call_type_group Non Life-threatening|number_of_alarms 1|unit_type PRIVATE|unit_sequence_in_call_dispatch 1|fire_prevention_district 2|supervisor_district 6|neighborhoods_analysis_boundaries Tenderlo|rowid 220393688-AM118|case_location {'type': 'Point', 'coordinat|on_scene_dttm 2022-02-09 00:00:22|transport_dttm 2022-02-09 00:19:16|hospital_dttm 2022-02-09 00:29:52",2022-02-08 23:51:08,1.0533734894124791e-05,True
3756_14,When did the unit acknowledge they were on route?,2022-02-08 23:51:08,"call_number 220393688|unit_id AM118|incident_number 22018525|call_type Medical Incident|call_date 2022-02-08|watch_date 2022-02-08|received_dttm 2022-02-08 23:50:10|entry_dttm 2022-02-08 23:50:10|dispatch_dttm 2022-02-08 23:50:35|response_dttm 2022-02-08 23:51:08|call_final_disposition Code 2 Transport|available_dttm 2022-02-09T01:06:42.000|address 300 Block of EDDY ST|city San Francisco|zipcode_of_incident 94102.0|battalion B02|station_area 3.0|box 1540.0|original_priority C|priority 2|final_priority 2|als_unit False|call_type_group Non Life-threatening|number_of_alarms 1|unit_type PRIVATE|unit_sequence_in_call_dispatch 1|fire_prevention_district 2|supervisor_district 6|neighborhoods_analysis_boundaries Tenderlo|rowid 220393688-AM118|case_location {'type': 'Point', 'coordinat|on_scene_dttm 2022-02-09 00:00:22|transport_dttm 2022-02-09 00:19:16|hospital_dttm 2022-02-09 00:29:52",unit_id AM118,1.193535865695594e-07,False
3756_15,When did they arrive on scene?,2022-02-09 00:00:22,"call_number 220393688|unit_id AM118|incident_number 22018525|call_type Medical Incident|call_date 2022-02-08|watch_date 2022-02-08|received_dttm 2022-02-08 23:50:10|entry_dttm 2022-02-08 23:50:10|dispatch_dttm 2022-02-08 23:50:35|response_dttm 2022-02-08 23:51:08|call_final_disposition Code 2 Transport|available_dttm 2022-02-09T01:06:42.000|address 300 Block of EDDY ST|city San Francisco|zipcode_of_incident 94102.0|battalion B02|station_area 3.0|box 1540.0|original_priority C|priority 2|final_priority 2|als_unit False|call_type_group Non Life-threatening|number_of_alarms 1|unit_type PRIVATE|unit_sequence_in_call_dispatch 1|fire_prevention_district 2|supervisor_district 6|neighborhoods_analysis_boundaries Tenderlo|rowid 220393688-AM118|case_location {'type': 'Point', 'coordinat|on_scene_dttm 2022-02-09 00:00:22|transport_dttm 2022-02-09 00:19:16|hospital_dttm 2022-02-09 00:29:52",2022,3.948565790778957e-05,True
