call_number,address,zipcode,neighborhood,station_area
220170001,700 Block of 4TH ST,94107,Mission Bay,8
220170004,1000 Block of POTRERO AVE,94110,Potrero Hill,37
220170012,500 Block of GREEN ST,94133,North Beach,28
220170017,1000 Block of MARKET ST,94102,Tenderloin,1
220170020,0 Block of BLK MOLIMO DR,94127,West of Twin Peaks,39
220170031,HYDE ST/CALIFORNIA ST,94109,Nob Hill,41
220170033,HOWARD ST/RAUSCH ST,94103,South of Market,1
220170036,19TH AV/JUNIPERO SERRA BL,94132,Lakeshore,19
220170041,300 Block of MOSCOW ST,94112,Excelsior,43
220170045,1800 Block of GREEN ST,94123,Marina,16
220170046,0 Block of WASHBURN ST,94103,South of Market,36
220170053,600 Block of 5TH ST,94107,Mission Bay,8
220170061,300 Block of BATTERY ST,94111,Chinatown,13
220170074,HAYES ST/LAGUNA ST,94102,Hayes Valley,36
220170096,PAGE ST/DIVISADERO ST,94117,Haight Ashbury,21
220170111,19TH ST/FOLSOM ST,94110,Mission,7
220170121,200 Block of 8TH ST,94103,South of Market,1
220170134,CHARLES J BRENHAM ST/MARKET ST,94103,South of Market,36
220170143,18TH ST/CASTRO ST,94114,Castro/Upper Market,6
220170157,400 Block of 7TH ST,94103,South of Market,8
220170163,1000 Block of SOUTH VAN NESS AVE,94110,Mission,7
220170174,200 Block of EDDY ST,94102,Tenderloin,3
220170177,200 Block of GOLD MINE DR,94131,Glen Park,26
220170187,0 Block of CHUMASERO DR,94132,Lakeshore,33
220170189,500 Block of BAY ST,94133,North Beach,28
220170192,200 Block of MCALLISTER ST,94102,Tenderloin,36
220170196,200 Block of MCALLISTER ST,94102,Tenderloin,36
220170197,1200 Block of GRANT AVE,94133,North Beach,2
220170210,400 Block of STANYAN ST,94117,Lone Mountain/USF,21
220170214,500 Block of FOLSOM ST,94105,Financial District/South Beach,35
220170225,SUNSET BL/RIVERA ST,94116,Sunset/Parkside,18
220170226,200 Block of VALENCIA ST,94103,Mission,6
220170243,100 Block of TAYLOR ST,94102,Tenderloin,3
220170245,0 Block of BRADFORD ST,94110,Bernal Heights,32
220170250,2000 Block of POST ST,94115,Japantown,5
220170253,LEAVENWORTH ST/GEARY ST,94109,Tenderloin,3
220170260,400 Block of OFARRELL ST,94102,Tenderloin,3
220170263,200 Block of KING ST,94107,Mission Bay,8
220170270,1300 Block of MISSION ST,94103,South of Market,36
220170271,800 Block of BRYANT ST,94103,South of Market,8
220170276,300 Block of ELLIS ST,94102,Tenderloin,3
220170283,800 Block of HOWARD ST,94103,South of Market,1
220170285,900 Block of HOWARD ST,94103,South of Market,1
220170286,0 Block of ESSEX ST,94105,Financial District/South Beach,35
220170300,500 Block of FAXON AVE,94112,Oceanview/Merced/Ingleside,15
220170312,200 Block of BRIGHT ST,94132,Oceanview/Merced/Ingleside,33
220170313,1200 Block of 46TH AV,94122,Sunset/Parkside,23
220170321,2700 Block of SAN BRUNO AVE,94134,Portola,42
220170327,1100 Block of MISSION ST,94103,South of Market,1
220170331,MISSION ST/CLARION AL,94110,Mission,7
220170333,0 Block of ESSEX ST,94105,Financial District/South Beach,35
220170336,POST ST/JONES ST,94109,Tenderloin,3
220170342,900 Block of EDDY ST,94102,Western Addition,5
220170348,200 Block of TEXAS ST,94107,Potrero Hill,37
220170352,POTRERO AV/23RD ST,94110,Potrero Hill,37
220170353,GREAT HY/SLOAT BL,94132,Lakeshore,23
220170355,FULTON ST/PARK PRESIDIO BL,94118,Golden Gate Park,31
220170356,100 Block of 6TH ST,94103,South of Market,1
220170360,200 Block of EDDY ST,94102,Tenderloin,3
220170363,1100 Block of VAN NESS AVE,94109,Western Addition,3
220170375,1800 Block of WALLER ST,94122,Golden Gate Park,12
220170385,300 Block of CLEMENTINA ST,94103,South of Market,1
220170386,300 Block of LEAVENWORTH ST,94109,Tenderloin,3
220170390,100 Block of OCEAN AVE,94112,Outer Mission,15
220170391,MISSION ST/CLARION AL,94110,Mission,7
220170392,500 Block of POST ST,94102,Tenderloin,3
220170402,GUERRERO ST/22ND ST,94110,Mission,11
220170404,200 Block of GOLDEN GATE AVE,94102,Tenderloin,3
220170409,SANSOME ST/SUTTER ST,94104,Financial District/South Beach,13
220170415,400 Block of ANDOVER ST,94110,Bernal Heights,32
220170418,3200 Block of 20TH AVE,94132,Lakeshore,19
220170420,CARROLL AV/ARELIOUS WALKER DR,94124,Bayview Hunters Point,17
220170423,900 Block of HOWARD ST,94103,South of Market,1
220170425,2400 Block of 21ST AVE,94116,Sunset/Parkside,40
220170428,3100 Block of SCOTT ST,94123,Marina,16
220170439,1400 Block of SUTTER ST,94109,Western Addition,3
220170440,1700 Block of MARKET ST,94103,Mission,36
220170441,200 Block of EDDY ST,94102,Tenderloin,3
220170448,700 Block of EDDY ST,94109,Tenderloin,3
220170468,24TH ST/MISSION ST,94110,Mission,11
220170473,1000 Block of 22ND ST,94107,Potrero Hill,25
220170484,2100 Block of JENNINGS ST,94124,Bayview Hunters Point,17
220170486,900 Block of SACRAMENTO ST,94108,Chinatown,2
220170491,100 Block of MASON ST,94102,Tenderloin,1
220170503,300 Block of 2ND ST,94105,Financial District/South Beach,35
220170512,1300 Block of WEBSTER ST,94115,Western Addition,5
220170525,HYDE ST/MCALLISTER ST,94102,Tenderloin,36
220170531,400 Block of HARKNESS AVE,94134,Visitacion Valley,44
220170573,STEVENSON ST/7TH ST,94103,South of Market,1
220170579,HAMPSHIRE ST/CESAR CHAVEZ ST,94110,Mission,9
220170588,600 Block of LEAVENWORTH ST,94109,Tenderloin,3
220170596,1300 Block of INGALLS ST,94124,Bayview Hunters Point,17
220170603,ELLIS ST/JONES ST,94102,Tenderloin,3
220170614,1800 Block of HARRISON ST,94103,Mission,7
220170622,200 Block of KING ST,94107,Mission Bay,8
220170632,600 Block of 45TH AVE,94121,Outer Richmond,34
220170633,1000 Block of VAN NESS AVE,94109,Western Addition,3
220170635,0 Block of GOLD MINE DR,94131,Noe Valley,26
220170647,900 Block of POLK ST,94109,Tenderloin,3
220170669,0 Block of WATERVILLE ST,94124,Bayview Hunters Point,42
220170670,OFARRELL ST/BRODERICK ST,94115,Western Addition,21
220170676,100 Block of 7TH ST,94103,South of Market,1
220170684,1100 Block of MARKET ST,94103,South of Market,36
220170704,2500 Block of MASON ST,94133,North Beach,28
220170705,HALLECK ST/SANSOME ST,94104,Financial District/South Beach,13
220170710,400 Block of HEARST AVE,94112,West of Twin Peaks,15
220170714,300 Block of UNIVERSITY ST,94134,Portola,42
220170716,2300 Block of 47TH AVE,94116,Sunset/Parkside,23
220170718,100 Block of FULTON ST,94102,Tenderloin,36
220170721,1600 Block of 42ND AVE,94122,Sunset/Parkside,23
220170727,1000 Block of VAN NESS AVE,94109,Western Addition,3
220170737,300 Block of GONZALEZ DR,94132,Lakeshore,19
220170778,OFARRELL ST/JONES ST,94102,Tenderloin,3
